,country,medalist,sport,event,medal
0,united-states, United States, BK3,Women,gold
1,united-states, LEE SLEE Sunisa, GAR,Women's All-Around,gold
2,united-states, CAREY JCAREY Jade, GAR,Women's Floor Exercise,gold
3,united-states, United States, GAR,Women's Team,silver
4,united-states, SKINNER MSKINNER Mykayla, GAR,Women's Vault,silver
5,united-states, BILES SBILES Simone, GAR,Women's Balance Beam,bronze
6,united-states, LEE SLEE Sunisa, GAR,Women's Uneven Bars,bronze
7,united-states, United States of America, ATH,Men's 4 x 400m Relay,gold
8,united-states, CROUSER RCROUSER Ryan, ATH,Men's Shot Put,gold
9,united-states, United States of America, ATH,Women's 4 x 400m Relay,gold
10,united-states, McLAUGHLIN SMcLAUGHLIN Sydney, ATH,Women's 400m Hurdles,gold
11,united-states, MU AMU Athing, ATH,Women's 800m,gold
12,united-states, ALLMAN VALLMAN Valarie, ATH,Women's Discus Throw,gold
13,united-states, NAGEOTTE KNAGEOTTE Katie, ATH,Women's Pole Vault,gold
14,united-states, KERLEY FKERLEY Fred, ATH,Men's 100m,silver
15,united-states, HOLLOWAY GHOLLOWAY Grant, ATH,Men's 110m Hurdles,silver
16,united-states, BEDNAREK KBEDNAREK Kenneth, ATH,Men's 200m,silver
17,united-states, BENJAMIN RBENJAMIN Rai, ATH,Men's 400m Hurdles,silver
18,united-states, NILSEN CNILSEN Christopher, ATH,Men's Pole Vault,silver
19,united-states, KOVACS JKOVACS Joe, ATH,Men's Shot Put,silver
20,united-states, HARRISON KHARRISON Kendra, ATH,Women's 100m Hurdles,silver
21,united-states, FRERICHS CFRERICHS Courtney, ATH,Women's 3000m Steeplechase,silver
22,united-states, United States of America, ATH,Women's 4 x 100m Relay,silver
23,united-states, MUHAMMAD DMUHAMMAD Dalilah, ATH,Women's 400m Hurdles,silver
24,united-states, REESE BREESE Brittney, ATH,Women's Long Jump,silver
25,united-states, SAUNDERS RSAUNDERS Raven, ATH,Women's Shot Put,silver
26,united-states, LYLES NLYLES Noah, ATH,Men's 200m,bronze
27,united-states, CHELIMO PCHELIMO Paul, ATH,Men's 5000m,bronze
28,united-states, THOMAS GTHOMAS Gabrielle, ATH,Women's 200m,bronze
